1,3.84,Current,Percentage,,,,100,3.84
337,3.36,65.2,99.54,,,,99.54,3.36
338,3.36,65.1,99.54,,,,99.54,3.36
339,3.36,64.9,99.54,,,,99.53,3.36
340,3.36,65,99.53,,,,99.53,3.36
341,3.36,64.8,99.53,,,,99.53,3.36
342,3.36,64.8,99.53,,,,99.53,3.36
343,3.36,64.5,99.53,,,,99.53,3.36
344,3.36,65.1,99.53,,,,99.53,3.36
345,3.36,64.7,99.53,,,,99.53,3.36
346,3.35,65.1,99.53,,,,99.52,3.35
347,3.36,64.7,99.52,,,,99.52,3.36
348,3.35,64.9,99.52,,,,99.52,3.35
349,3.35,64.9,99.52,,,,99.52,3.35
350,3.35,64.8,99.52,,,,99.52,3.35
351,3.35,64.9,99.52,,,,99.52,3.35
352,3.35,65,99.52,,,,99.52,3.35
353,3.35,65.2,99.52,,,,99.51,3.35
354,3.35,64.7,99.51,,,,99.51,3.35
355,3.35,64.9,99.51,,,,99.51,3.35
356,3.35,64.7,99.51,,,,99.51,3.35
357,3.35,65.1,99.51,,,,99.51,3.35
358,3.35,64.8,99.51,,,,99.51,3.35
359,3.35,64.9,99.51,,,,99.51,3.35
360,3.35,64.9,99.51,,,,99.51,3.35
361,3.35,65.2,99.51,,,,99.5,3.35
362,3.35,64.8,99.5,,,,99.5,3.35
363,3.35,65,99.5,,,,99.5,3.35
364,3.35,64.8,99.5,,,,99.5,3.35
365,3.35,65.1,99.5,,,,99.5,3.35
366,3.35,65.1,99.5,,,,99.5,3.35
367,3.35,65,99.5,,,,99.5,3.35
368,3.35,65,99.5,,,,99.49,3.35
369,3.35,64.8,99.49,,,,99.49,3.35
370,3.35,65.1,99.49,,,,99.49,3.35
371,3.35,64.8,99.49,,,,99.49,3.35
372,3.35,65.2,99.49,,,,99.49,3.35
373,3.34,64.7,99.49,,,,99.49,3.34
374,3.34,64.9,99.49,,,,99.49,3.34
375,3.34,64.9,99.49,,,,99.48,3.34
376,3.34,65.1,99.48,,,,99.48,3.34
377,3.34,64.6,99.48,,,,99.48,3.34
378,3.34,64.8,99.48,,,,99.48,3.34
379,3.34,64.7,99.48,,,,99.48,3.34
380,3.34,65.1,99.48,,,,99.48,3.34
381,3.34,64.7,99.48,,,,99.48,3.34
382,3.34,64.7,99.48,,,,99.47,3.34
383,3.34,64.9,99.47,,,,99.47,3.34
384,3.34,64.7,99.47,,,,99.47,3.34
385,3.34,65.3,99.47,,,,99.47,3.34
386,3.34,64.9,99.47,,,,99.47,3.34
387,3.34,65.1,99.47,,,,99.47,3.34
388,3.34,65,99.47,,,,99.47,3.34
389,3.34,65.5,99.47,,,,99.47,3.34
390,3.34,64.9,99.47,,,,99.46,3.34
391,3.34,65.2,99.46,,,,99.46,3.34
392,3.34,64.6,99.46,,,,99.46,3.34
393,3.34,65.1,99.46,,,,99.46,3.34
394,3.34,65.1,99.46,,,,99.46,3.34
395,3.34,64.9,99.46,,,,99.46,3.34
396,3.34,65.1,99.46,,,,99.46,3.34
397,3.34,65.2,99.46,,,,99.45,3.34
398,3.34,65.3,99.45,,,,99.45,3.34
399,3.34,64.9,99.45,,,,99.45,3.34
400,3.34,64.9,99.45,,,,99.45,3.34
401,3.34,64.8,99.45,,,,99.45,3.34
402,3.34,65.1,99.45,,,,99.45,3.34
403,3.34,64.7,99.45,,,,99.45,3.34
404,3.34,64.5,99.45,,,,99.44,3.34
405,3.34,64.9,99.44,,,,99.44,3.34
406,3.33,64.7,99.44,,,,99.44,3.33
407,3.33,65.1,99.44,,,,99.44,3.33
408,3.33,65.1,99.44,,,,99.44,3.33
409,3.33,65.4,99.44,,,,99.44,3.33
410,3.33,64.9,99.44,,,,99.44,3.33
411,3.33,65.2,99.44,,,,99.43,3.33
412,3.33,65.1,99.43,,,,99.43,3.33
413,3.33,64.8,99.43,,,,99.43,3.33
414,3.33,65.4,99.43,,,,99.43,3.33
415,3.33,64.9,99.43,,,,99.43,3.33
416,3.33,65,99.43,,,,99.43,3.33
417,3.33,64.8,99.43,,,,99.43,3.33
418,3.33,65,99.43,,,,99.43,3.33
419,3.33,64.7,99.43,,,,99.42,3.33
420,3.33,64.5,99.42,,,,99.42,3.33
421,3.33,64.7,99.42,,,,99.42,3.33
422,3.33,65.1,99.42,,,,99.42,3.33
423,3.33,64.9,99.42,,,,99.42,3.33
424,3.33,65.1,99.42,,,,99.42,3.33
425,3.33,64.7,99.42,,,,99.42,3.33
426,3.33,65.1,99.42,,,,99.41,3.33
427,3.33,64.9,99.41,,,,99.41,3.33
428,3.33,65,99.41,,,,99.41,3.33
429,3.33,65.1,99.41,,,,99.41,3.33
430,3.33,64.8,99.41,,,,99.41,3.33
431,3.33,65.2,99.41,,,,99.41,3.33
432,3.33,64.8,99.41,,,,99.41,3.33
433,3.33,65.3,99.41,,,,99.4,3.33
434,3.33,65,99.4,,,,99.4,3.33
435,3.33,65.1,99.4,,,,99.4,3.33
436,3.33,65.2,99.4,,,,99.4,3.33
437,3.33,64.8,99.4,,,,99.4,3.33
438,3.33,64.9,99.4,,,,99.4,3.33
439,3.33,64.6,99.4,,,,99.4,3.33
440,3.33,65.2,99.4,,,,99.39,3.33
441,3.32,65,99.39,,,,99.39,3.32
442,3.32,64.9,99.39,,,,99.39,3.32
443,3.32,64.7,99.39,,,,99.39,3.32
444,3.32,64.9,99.39,,,,99.39,3.32
445,3.32,64.9,99.39,,,,99.39,3.32
446,3.32,64.8,99.39,,,,99.39,3.32
447,3.32,64.9,99.39,,,,99.39,3.32
448,3.32,64.9,99.39,,,,99.38,3.32
449,3.32,64.8,99.38,,,,99.38,3.32
450,3.32,64.9,99.38,,,,99.38,3.32
451,3.32,64.8,99.38,,,,99.38,3.32
452,3.32,64.7,99.38,,,,99.38,3.32
453,3.32,64.8,99.38,,,,99.38,3.32
454,3.32,64.8,99.38,,,,99.38,3.32
455,3.32,65.1,99.38,,,,99.37,3.32
456,3.32,65.2,99.37,,,,99.37,3.32
457,3.32,64.8,99.37,,,,99.37,3.32
458,3.32,65.1,99.37,,,,99.37,3.32
459,3.32,64.8,99.37,,,,99.37,3.32
460,3.32,65.1,99.37,,,,99.37,3.32
461,3.32,64.9,99.37,,,,99.37,3.32
462,3.32,64.9,99.37,,,,99.36,3.32
463,3.32,64.7,99.36,,,,99.36,3.32
464,3.32,64.9,99.36,,,,99.36,3.32
465,3.32,64.9,99.36,,,,99.36,3.32
466,3.32,64.9,99.36,,,,99.36,3.32
467,3.32,64.8,99.36,,,,99.36,3.32
468,3.32,64.7,99.36,,,,99.36,3.32
469,3.32,65,99.36,,,,99.35,3.32
470,3.32,64.7,99.35,,,,99.35,3.32
471,3.32,65.3,99.35,,,,99.35,3.32
472,3.32,64.9,99.35,,,,99.35,3.32
473,3.32,65.2,99.35,,,,99.35,3.32
474,3.32,65.2,99.35,,,,99.35,3.32
475,3.32,65.1,99.35,,,,99.35,3.32
476,3.32,65,99.35,,,,99.35,3.32
477,3.32,64.5,99.35,,,,99.34,3.32
478,3.32,65.2,99.34,,,,99.34,3.32
479,3.32,65.1,99.34,,,,99.34,3.32
480,3.32,64.9,99.34,,,,99.34,3.32
481,3.32,64.7,99.34,,,,99.34,3.32
482,3.31,64.8,99.34,,,,99.34,3.31
483,3.31,64.7,99.34,,,,99.34,3.31
484,3.32,65,99.34,,,,99.33,3.32
485,3.31,64.9,99.33,,,,99.33,3.31
486,3.32,64.6,99.33,,,,99.33,3.32
487,3.31,64.9,99.33,,,,99.33,3.31
488,3.31,64.8,99.33,,,,99.33,3.31
489,3.31,65.3,99.33,,,,99.33,3.31
490,3.31,64.7,99.33,,,,99.33,3.31
491,3.31,65.1,99.33,,,,99.32,3.31
492,3.31,64.7,99.32,,,,99.32,3.31
493,3.31,64.8,99.32,,,,99.32,3.31
494,3.31,64.9,99.32,,,,99.32,3.31
495,3.31,64.9,99.32,,,,99.32,3.31
496,3.31,64.9,99.32,,,,99.32,3.31
497,3.31,64.8,99.32,,,,99.32,3.31
498,3.31,64.7,99.32,,,,99.31,3.31
499,3.31,64.7,99.31,,,,99.31,3.31
500,3.31,64.8,99.31,,,,99.31,3.31
501,3.31,64.7,99.31,,,,99.31,3.31
502,3.31,64.7,99.31,,,,99.31,3.31
503,3.31,64.7,99.31,,,,99.31,3.31
504,3.31,64.7,99.31,,,,99.31,3.31
